candidate_id,r0_um,N_turns,sides,W_um,S_um,left_bridge_um,right_bridge_um,fdl_path,skill_path,gds_path,s2p_path
LQ_N2p5_R71_W12_S18,71.0,2.5,12,12.0,18.0,180.0,180.0,fdl/LQ_N2p5_R71_W12_S18.py,skill/LQ_N2p5_R71_W12_S18.il,gds/LQ_N2p5_R71_W12_S18.gds,s2p/LQ_N2p5_R71_W12_S18.s2p
LQ_N2p5_R70_W12_S18,70.0,2.5,12,12.0,18.0,180.0,180.0,fdl/LQ_N2p5_R70_W12_S18.py,skill/LQ_N2p5_R70_W12_S18.il,gds/LQ_N2p5_R70_W12_S18.gds,s2p/LQ_N2p5_R70_W12_S18.s2p
LQ_N2p5_R69_W12_S18,69.0,2.5,12,12.0,18.0,180.0,180.0,fdl/LQ_N2p5_R69_W12_S18.py,skill/LQ_N2p5_R69_W12_S18.il,gds/LQ_N2p5_R69_W12_S18.gds,s2p/LQ_N2p5_R69_W12_S18.s2p
LQ_N2p5_R68_W12_S18,68.0,2.5,12,12.0,18.0,180.0,180.0,fdl/LQ_N2p5_R68_W12_S18.py,skill/LQ_N2p5_R68_W12_S18.il,gds/LQ_N2p5_R68_W12_S18.gds,s2p/LQ_N2p5_R68_W12_S18.s2p
LQ_N2p5_R90_W12_S16,90.0,2.5,12,12.0,16.0,180.0,180.0,fdl/LQ_N2p5_R90_W12_S16.py,skill/LQ_N2p5_R90_W12_S16.il,gds/LQ_N2p5_R90_W12_S16.gds,s2p/LQ_N2p5_R90_W12_S16.s2p
LQ_N2p5_R89_W12_S16,89.0,2.5,12,12.0,16.0,180.0,180.0,fdl/LQ_N2p5_R89_W12_S16.py,skill/LQ_N2p5_R89_W12_S16.il,gds/LQ_N2p5_R89_W12_S16.gds,s2p/LQ_N2p5_R89_W12_S16.s2p
LQ_N2p5_R88_W12_S16,88.0,2.5,12,12.0,16.0,180.0,180.0,fdl/LQ_N2p5_R88_W12_S16.py,skill/LQ_N2p5_R88_W12_S16.il,gds/LQ_N2p5_R88_W12_S16.gds,s2p/LQ_N2p5_R88_W12_S16.s2p
LQ_N2p5_R87_W12_S16,87.0,2.5,12,12.0,16.0,180.0,180.0,fdl/LQ_N2p5_R87_W12_S16.py,skill/LQ_N2p5_R87_W12_S16.il,gds/LQ_N2p5_R87_W12_S16.gds,s2p/LQ_N2p5_R87_W12_S16.s2p
LQ_N2p5_R86_W12_S16,86.0,2.5,12,12.0,16.0,180.0,180.0,fdl/LQ_N2p5_R86_W12_S16.py,skill/LQ_N2p5_R86_W12_S16.il,gds/LQ_N2p5_R86_W12_S16.gds,s2p/LQ_N2p5_R86_W12_S16.s2p
LQ_N2p5_R85_W12_S16,85.0,2.5,12,12.0,16.0,180.0,180.0,fdl/LQ_N2p5_R85_W12_S16.py,skill/LQ_N2p5_R85_W12_S16.il,gds/LQ_N2p5_R85_W12_S16.gds,s2p/LQ_N2p5_R85_W12_S16.s2p
LQ_N2p5_R84_W12_S16,84.0,2.5,12,12.0,16.0,180.0,180.0,fdl/LQ_N2p5_R84_W12_S16.py,skill/LQ_N2p5_R84_W12_S16.il,gds/LQ_N2p5_R84_W12_S16.gds,s2p/LQ_N2p5_R84_W12_S16.s2p
LQ_N2p5_R83_W12_S16,83.0,2.5,12,12.0,16.0,180.0,180.0,fdl/LQ_N2p5_R83_W12_S16.py,skill/LQ_N2p5_R83_W12_S16.il,gds/LQ_N2p5_R83_W12_S16.gds,s2p/LQ_N2p5_R83_W12_S16.s2p
LQ_N2p5_R80_W11p2_S16,80.0,2.5,12,11.2,16.0,180.0,180.0,fdl/LQ_N2p5_R80_W11p2_S16.py,skill/LQ_N2p5_R80_W11p2_S16.il,gds/LQ_N2p5_R80_W11p2_S16.gds,s2p/LQ_N2p5_R80_W11p2_S16.s2p
LQ_N2p5_R79_W11p2_S16,79.0,2.5,12,11.2,16.0,180.0,180.0,fdl/LQ_N2p5_R79_W11p2_S16.py,skill/LQ_N2p5_R79_W11p2_S16.il,gds/LQ_N2p5_R79_W11p2_S16.gds,s2p/LQ_N2p5_R79_W11p2_S16.s2p
LQ_N2p5_R78_W11p2_S16,78.0,2.5,12,11.2,16.0,180.0,180.0,fdl/LQ_N2p5_R78_W11p2_S16.py,skill/LQ_N2p5_R78_W11p2_S16.il,gds/LQ_N2p5_R78_W11p2_S16.gds,s2p/LQ_N2p5_R78_W11p2_S16.s2p
LQ_N2p5_R77_W11p2_S16,77.0,2.5,12,11.2,16.0,180.0,180.0,fdl/LQ_N2p5_R77_W11p2_S16.py,skill/LQ_N2p5_R77_W11p2_S16.il,gds/LQ_N2p5_R77_W11p2_S16.gds,s2p/LQ_N2p5_R77_W11p2_S16.s2p
LQ_N2p5_R76_W11p2_S16,76.0,2.5,12,11.2,16.0,180.0,180.0,fdl/LQ_N2p5_R76_W11p2_S16.py,skill/LQ_N2p5_R76_W11p2_S16.il,gds/LQ_N2p5_R76_W11p2_S16.gds,s2p/LQ_N2p5_R76_W11p2_S16.s2p
LQ_N2p5_R75_W11p2_S16,75.0,2.5,12,11.2,16.0,180.0,180.0,fdl/LQ_N2p5_R75_W11p2_S16.py,skill/LQ_N2p5_R75_W11p2_S16.il,gds/LQ_N2p5_R75_W11p2_S16.gds,s2p/LQ_N2p5_R75_W11p2_S16.s2p
LQ_N2p5_R74_W11p2_S16,74.0,2.5,12,11.2,16.0,180.0,180.0,fdl/LQ_N2p5_R74_W11p2_S16.py,skill/LQ_N2p5_R74_W11p2_S16.il,gds/LQ_N2p5_R74_W11p2_S16.gds,s2p/LQ_N2p5_R74_W11p2_S16.s2p
LQ_N2p5_R73_W11p2_S16,73.0,2.5,12,11.2,16.0,180.0,180.0,fdl/LQ_N2p5_R73_W11p2_S16.py,skill/LQ_N2p5_R73_W11p2_S16.il,gds/LQ_N2p5_R73_W11p2_S16.gds,s2p/LQ_N2p5_R73_W11p2_S16.s2p
LQ_N2p5_R74_W11p2_S15,74.0,2.5,12,11.2,15.0,180.0,180.0,fdl/LQ_N2p5_R74_W11p2_S15.py,skill/LQ_N2p5_R74_W11p2_S15.il,gds/LQ_N2p5_R74_W11p2_S15.gds,s2p/LQ_N2p5_R74_W11p2_S15.s2p
LQ_N2p5_R73_W11p2_S15,73.0,2.5,12,11.2,15.0,180.0,180.0,fdl/LQ_N2p5_R73_W11p2_S15.py,skill/LQ_N2p5_R73_W11p2_S15.il,gds/LQ_N2p5_R73_W11p2_S15.gds,s2p/LQ_N2p5_R73_W11p2_S15.s2p
LQ_N2p5_R72_W11p2_S15,72.0,2.5,12,11.2,15.0,180.0,180.0,fdl/LQ_N2p5_R72_W11p2_S15.py,skill/LQ_N2p5_R72_W11p2_S15.il,gds/LQ_N2p5_R72_W11p2_S15.gds,s2p/LQ_N2p5_R72_W11p2_S15.s2p
LQ_N2p5_R72_W10p4_S15,72.0,2.5,12,10.4,15.0,180.0,180.0,fdl/LQ_N2p5_R72_W10p4_S15.py,skill/LQ_N2p5_R72_W10p4_S15.il,gds/LQ_N2p5_R72_W10p4_S15.gds,s2p/LQ_N2p5_R72_W10p4_S15.s2p
LQ_N2p5_R71_W11p2_S15,71.0,2.5,12,11.2,15.0,180.0,180.0,fdl/LQ_N2p5_R71_W11p2_S15.py,skill/LQ_N2p5_R71_W11p2_S15.il,gds/LQ_N2p5_R71_W11p2_S15.gds,s2p/LQ_N2p5_R71_W11p2_S15.s2p
LQ_N2p5_R71_W10p4_S15,71.0,2.5,12,10.4,15.0,180.0,180.0,fdl/LQ_N2p5_R71_W10p4_S15.py,skill/LQ_N2p5_R71_W10p4_S15.il,gds/LQ_N2p5_R71_W10p4_S15.gds,s2p/LQ_N2p5_R71_W10p4_S15.s2p
LQ_N2p5_R70_W11p2_S15,70.0,2.5,12,11.2,15.0,180.0,180.0,fdl/LQ_N2p5_R70_W11p2_S15.py,skill/LQ_N2p5_R70_W11p2_S15.il,gds/LQ_N2p5_R70_W11p2_S15.gds,s2p/LQ_N2p5_R70_W11p2_S15.s2p
LQ_N2p5_R70_W10p4_S15,70.0,2.5,12,10.4,15.0,180.0,180.0,fdl/LQ_N2p5_R70_W10p4_S15.py,skill/LQ_N2p5_R70_W10p4_S15.il,gds/LQ_N2p5_R70_W10p4_S15.gds,s2p/LQ_N2p5_R70_W10p4_S15.s2p
